run_id,timestamp_utc,scheduler,workload,repetition,seed,tasks_planned,tasks_submitted,tasks_completed,tasks_dead_lettered,tasks_retried,task_failures,duplicate_completions,timed_out,worker_processes,worker_concurrency,total_slots,max_in_flight,experiment_duration_s,makespan_s,throughput_tasks_per_s,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_max_s,wait_mean_s,wait_p50_s,wait_p95_s,wait_p99_s,wait_max_s,exec_mean_s,exec_p99_s,deadline_missed,deadline_miss_rate,worker_busy_s,worker_slot_s,worker_utilization,jain_fairness_service,jain_fairness_count,tenant_count,tenant_p99_max_s,tenant_p99_min_s,tenant_p99_ratio,min_tenant_service_share,producer_max_lag_s,producer_mean_lag_s,arrival_rate_per_sec,exec_min_ms,exec_max_ms
example,2026-09-08T09:26:29Z,edf,uniform,0,1000,150,150,150,0,0,0,0,false,2,4,8,8,1.046815,1.016707,147.535131,0.159025,0.140363,0.330875,0.353139,0.364977,0.108589,0.083355,0.279363,0.302919,0.308924,0.050333,0.060000,0,0.000000,7.565412,8.374522,0.903384,0.987279,0.985977,5,0.359053,0.305002,1.177216,0.172450,0.001104,0.000470,200.000000,40,60
example,2026-09-08T09:26:30Z,edf,bursty,0,1000,150,150,150,0,0,0,0,false,2,4,8,8,1.092396,1.010608,148.425502,0.424577,0.412361,0.807424,0.821718,0.847366,0.374334,0.365769,0.753109,0.767440,0.789299,0.050120,0.060000,51,0.340000,7.536469,8.739170,0.862378,0.971240,0.975293,5,0.841032,0.796760,1.055565,0.147247,0.000460,0.000222,200.000000,40,60
example,2026-09-08T09:26:32Z,edf,heavy_tailed,0,1000,150,150,150,0,0,0,0,false,2,4,8,8,0.866007,0.824658,181.893585,0.025876,0.017796,0.068324,0.092697,0.141641,0.002749,0.002720,0.004452,0.007951,0.013097,0.023033,0.090240,0,0.000000,3.469021,6.928059,0.500720,0.977520,0.975293,5,0.121664,0.071981,1.690228,0.165268,0.000901,0.000479,200.000000,40,60
example,2026-09-08T09:26:33Z,edf,multi_tenant,0,1000,150,150,150,0,0,0,0,false,2,4,8,8,1.065649,1.030285,145.590783,0.173817,0.165505,0.326603,0.375319,0.381803,0.123630,0.121300,0.279700,0.316271,0.322725,0.050080,0.060000,0,0.000000,7.528111,8.525195,0.883043,0.246983,0.246144,5,0.376951,0.205124,1.837673,0.022098,0.000974,0.000467,200.000000,40,60
example,2026-09-08T09:26:35Z,fifo,uniform,0,1000,150,150,150,0,0,0,0,false,2,4,8,8,1.046833,1.019295,147.160537,0.162053,0.161602,0.264400,0.279030,0.283801,0.111607,0.111962,0.213972,0.226926,0.227993,0.050333,0.060000,0,0.000000,7.566804,8.374663,0.903535,0.987279,0.985977,5,0.278627,0.246036,1.132465,0.172450,0.000962,0.000494,200.000000,40,60
example,2026-09-08T09:26:37Z,fifo,bursty,0,1000,150,150,150,0,0,0,0,false,2,4,8,8,1.092087,1.014102,147.914115,0.431487,0.437312,0.775542,0.804621,0.823408,0.381297,0.387124,0.730016,0.757123,0.764831,0.050080,0.060000,61,0.406667,7.528475,8.736699,0.861707,0.971456,0.975293,5,0.814813,0.767322,1.061891,0.147364,0.000453,0.000221,200.000000,40,60
example,2026-09-08T09:26:38Z,fifo,heavy_tailed,0,1000,150,150,150,0,0,0,0,false,2,4,8,8,0.865750,0.822499,182.371042,0.025724,0.017532,0.067939,0.093594,0.141729,0.002595,0.002450,0.004333,0.007279,0.009531,0.023033,0.090240,0,0.000000,3.469306,6.926000,0.500910,0.977520,0.975293,5,0.121147,0.071465,1.695199,0.165268,0.000856,0.000445,200.000000,40,60
example,2026-09-08T09:26:40Z,fifo,multi_tenant,0,1000,150,150,150,0,0,0,0,false,2,4,8,8,1.065590,1.030149,145.610004,0.175077,0.189976,0.253640,0.264120,0.267932,0.124884,0.134857,0.205301,0.211029,0.214341,0.050080,0.060000,0,0.000000,7.528877,8.524718,0.883182,0.246983,0.246144,5,0.266675,0.231416,1.152361,0.022098,0.000883,0.000456,200.000000,40,60
example,2026-09-08T09:26:41Z,priority,uniform,0,1000,150,150,150,0,0,0,0,false,2,4,8,8,1.046630,1.019127,147.184796,0.159670,0.071081,0.431998,0.451100,0.461581,0.109228,0.017982,0.376166,0.400363,0.410053,0.050333,0.060000,3,0.020000,7.566360,8.373037,0.903658,0.987279,0.985977,5,0.456732,0.427476,1.068439,0.172450,0.000966,0.000498,200.000000,40,60
example,2026-09-08T09:26:43Z,priority,bursty,0,1000,150,150,150,0,0,0,0,false,2,4,8,8,1.092347,1.012689,148.120499,0.433041,0.433391,0.792597,0.813465,0.821944,0.382843,0.388350,0.748461,0.757466,0.762670,0.050080,0.060000,60,0.400000,7.529658,8.738772,0.861638,0.971456,0.975293,5,0.813647,0.768300,1.059023,0.147364,0.000755,0.000244,200.000000,40,60
example,2026-09-08T09:26:44Z,priority,heavy_tailed,0,1000,150,150,150,0,0,0,0,false,2,4,8,8,0.865735,0.822806,182.302997,0.025859,0.018417,0.067297,0.092665,0.141254,0.002721,0.002695,0.004017,0.007015,0.009807,0.023033,0.090240,0,0.000000,3.470763,6.925879,0.501130,0.977520,0.975293,5,0.120777,0.071877,1.680333,0.165268,0.000859,0.000466,200.000000,40,60
example,2026-09-08T09:26:46Z,priority,multi_tenant,0,1000,150,150,150,0,0,0,0,false,2,4,8,8,1.065720,1.030040,145.625413,0.175210,0.085127,0.486655,0.515487,0.533642,0.125022,0.033289,0.438159,0.457518,0.486502,0.050080,0.060000,9,0.060000,7.528297,8.525762,0.883006,0.246983,0.246144,5,0.515601,0.106960,4.820508,0.022098,0.000865,0.000482,200.000000,40,60
example,2026-09-08T09:26:47Z,wfq,uniform,0,1000,150,150,150,0,0,0,0,false,2,4,8,8,1.046714,1.021948,146.778505,0.162224,0.156751,0.295032,0.310810,0.323390,0.111785,0.108551,0.243831,0.257281,0.270411,0.050333,0.060000,0,0.000000,7.565841,8.373716,0.903523,0.987279,0.985977,5,0.321458,0.181960,1.766642,0.172450,0.001107,0.000552,200.000000,40,60
