workload,scheduler,latency_p50_s,latency_p95_s,latency_p99_s,wait_max_s,throughput_tasks_per_s,deadline_miss_rate,worker_utilization,jain_fairness_service
uniform,fifo,0.1616,0.2644,0.2790,0.2280,147.1605,0.0000,0.9035,0.9873
uniform,priority,0.0711,0.4320,0.4511,0.4101,147.1848,0.0200,0.9037,0.9873
uniform,edf,0.1404,0.3309,0.3531,0.3089,147.5351,0.0000,0.9034,0.9873
uniform,wfq,0.1568,0.2950,0.3108,0.2704,146.7785,0.0000,0.9035,0.9873
bursty,fifo,0.4373,0.7755,0.8046,0.7648,147.9141,0.4067,0.8617,0.9715
bursty,priority,0.4334,0.7926,0.8135,0.7627,148.1205,0.4000,0.8616,0.9715
bursty,edf,0.4124,0.8074,0.8217,0.7893,148.4255,0.3400,0.8624,0.9712
bursty,wfq,0.4266,0.8034,0.8215,0.7682,149.1334,0.3667,0.8616,0.9715
heavy_tailed,fifo,0.0175,0.0679,0.0936,0.0095,182.3710,0.0000,0.5009,0.9775
heavy_tailed,priority,0.0184,0.0673,0.0927,0.0098,182.3030,0.0000,0.5011,0.9775
heavy_tailed,edf,0.0178,0.0683,0.0927,0.0131,181.8936,0.0000,0.5007,0.9775
heavy_tailed,wfq,0.0181,0.0676,0.0924,0.0124,182.2036,0.0000,0.5012,0.9775
multi_tenant,fifo,0.1900,0.2536,0.2641,0.2143,145.6100,0.0000,0.8832,0.2470
multi_tenant,priority,0.0851,0.4867,0.5155,0.4865,145.6254,0.0600,0.8830,0.2470
multi_tenant,edf,0.1655,0.3266,0.3753,0.3227,145.5908,0.0000,0.8830,0.2470
multi_tenant,wfq,0.1852,0.2772,0.2907,0.2447,147.6256,0.0000,0.8829,0.2470
