run_id,scheduler,workload,repetition,seed,task_id,tenant_id,priority,outcome,submitted_at,dispatched_at,started_at,finished_at,deadline,exec_ms,actual_exec_ms,retry_count,queue_wait_s,latency_s,deadline_missed,worker
example,fifo,multi_tenant,0,1000,quick-000000,A,0,completed,2026-09-08T09:26:38.448789Z,2026-09-08T09:26:38.452Z,2026-09-08T09:26:38.452596Z,2026-09-08T09:26:38.508658Z,2026-09-08T09:26:39.012789Z,56,56,0,0.003807,0.059869,false,bench-worker-0-3
example,fifo,multi_tenant,0,1000,quick-000001,A,2,completed,2026-09-08T09:26:38.465733Z,2026-09-08T09:26:38.468Z,2026-09-08T09:26:38.468618Z,2026-09-08T09:26:38.522664Z,2026-09-08T09:26:39.056733Z,54,54,0,0.002885,0.056931,false,bench-worker-1-3
example,fifo,multi_tenant,0,1000,quick-000002,A,0,completed,2026-09-08T09:26:38.467237Z,2026-09-08T09:26:38.468Z,2026-09-08T09:26:38.468616Z,2026-09-08T09:26:38.526676Z,2026-09-08T09:26:39.130237Z,58,58,0,0.001379,0.059439,false,bench-worker-0-0
example,fifo,multi_tenant,0,1000,quick-000004,A,2,completed,2026-09-08T09:26:38.474501Z,2026-09-08T09:26:38.475Z,2026-09-08T09:26:38.475936Z,2026-09-08T09:26:38.526992Z,2026-09-08T09:26:38.995501Z,51,51,0,0.001435,0.052491,false,bench-worker-1-0
example,fifo,multi_tenant,0,1000,quick-000003,A,0,completed,2026-09-08T09:26:38.473172Z,2026-09-08T09:26:38.475Z,2026-09-08T09:26:38.475939Z,2026-09-08T09:26:38.527968Z,2026-09-08T09:26:39.111172Z,52,52,0,0.002767,0.054796,false,bench-worker-0-1
example,fifo,multi_tenant,0,1000,quick-000007,A,0,completed,2026-09-08T09:26:38.496442Z,2026-09-08T09:26:38.499Z,2026-09-08T09:26:38.499744Z,2026-09-08T09:26:38.539912Z,2026-09-08T09:26:39.015442Z,40,40,0,0.003302,0.043470,false,bench-worker-0-2
example,fifo,multi_tenant,0,1000,quick-000005,A,0,completed,2026-09-08T09:26:38.485584Z,2026-09-08T09:26:38.488Z,2026-09-08T09:26:38.488976Z,2026-09-08T09:26:38.546239Z,2026-09-08T09:26:39.084584Z,57,57,0,0.003392,0.060655,false,bench-worker-1-2
example,fifo,multi_tenant,0,1000,quick-000006,A,3,completed,2026-09-08T09:26:38.493174Z,2026-09-08T09:26:38.493Z,2026-09-08T09:26:38.49458Z,2026-09-08T09:26:38.552673Z,2026-09-08T09:26:38.987174Z,58,58,0,0.001406,0.059499,false,bench-worker-1-1
example,fifo,multi_tenant,0,1000,quick-000008,A,2,completed,2026-09-08T09:26:38.496443Z,2026-09-08T09:26:38.509Z,2026-09-08T09:26:38.509768Z,2026-09-08T09:26:38.559979Z,2026-09-08T09:26:38.955443Z,50,50,0,0.013325,0.063536,false,bench-worker-0-3
example,fifo,multi_tenant,0,1000,quick-000009,A,1,completed,2026-09-08T09:26:38.498114Z,2026-09-08T09:26:38.524Z,2026-09-08T09:26:38.525225Z,2026-09-08T09:26:38.567295Z,2026-09-08T09:26:39.053114Z,42,42,0,0.027111,0.069181,false,bench-worker-1-3
