run_id,scheduler,workload,repetition,seed,tenant,completed_tasks,service_seconds,service_share,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_max_s,wait_p99_s,wait_max_s,deadline_missed,deadline_miss_rate
example,edf,uniform,0,1000,A,30,1.504000,0.199205,0.153980,0.124235,0.341842,0.359053,0.364977,0.307346,0.308924,0,0.000000
example,edf,uniform,0,1000,B,34,1.680000,0.222517,0.151883,0.140363,0.290299,0.305002,0.307112,0.249279,0.252045,0,0.000000
example,edf,uniform,0,1000,C,34,1.724000,0.228344,0.176924,0.154203,0.342667,0.355653,0.361392,0.297910,0.302334,0,0.000000
example,edf,uniform,0,1000,D,26,1.340000,0.177483,0.158709,0.122806,0.321329,0.336938,0.342079,0.280893,0.282958,0,0.000000
example,edf,uniform,0,1000,E,26,1.302000,0.172450,0.151094,0.132237,0.294577,0.332997,0.342557,0.277577,0.288347,0,0.000000
example,edf,bursty,0,1000,A,38,1.920000,0.255387,0.415878,0.365595,0.799412,0.807542,0.808085,0.753250,0.753900,14,0.368421
example,edf,bursty,0,1000,B,30,1.456000,0.193669,0.418906,0.413671,0.770561,0.796760,0.804901,0.753583,0.760852,8,0.266667
example,edf,bursty,0,1000,C,30,1.544000,0.205374,0.453665,0.433156,0.812118,0.817604,0.818568,0.767441,0.769094,11,0.366667
example,edf,bursty,0,1000,D,23,1.107000,0.147247,0.401351,0.383028,0.789016,0.808820,0.813103,0.751954,0.754053,6,0.260870
example,edf,bursty,0,1000,E,29,1.491000,0.198324,0.430174,0.507400,0.818440,0.841032,0.847366,0.782696,0.789299,12,0.413793
example,edf,heavy_tailed,0,1000,A,38,0.815000,0.235890,0.024115,0.017379,0.066128,0.079619,0.079690,0.005114,0.005936,0,0.000000
example,edf,heavy_tailed,0,1000,B,30,0.804000,0.232706,0.029358,0.021067,0.068347,0.121664,0.141641,0.004027,0.004166,0,0.000000
example,edf,heavy_tailed,0,1000,C,30,0.685000,0.198263,0.025584,0.016988,0.065647,0.074768,0.075878,0.006512,0.007458,0,0.000000
example,edf,heavy_tailed,0,1000,D,23,0.571000,0.165268,0.027955,0.019297,0.055474,0.093980,0.104669,0.007792,0.008262,0,0.000000
example,edf,heavy_tailed,0,1000,E,29,0.580000,0.167873,0.023233,0.017709,0.047561,0.071981,0.080236,0.011566,0.013097,0,0.000000
example,edf,multi_tenant,0,1000,A,135,6.749000,0.898429,0.172660,0.161922,0.332321,0.376951,0.381803,0.317911,0.322725,0,0.000000
example,edf,multi_tenant,0,1000,B,3,0.166000,0.022098,0.132068,0.130886,0.199064,0.205124,0.206639,0.155830,0.157565,0,0.000000
example,edf,multi_tenant,0,1000,C,4,0.213000,0.028355,0.165123,0.172001,0.246655,0.247533,0.247753,0.193249,0.193617,0,0.000000
example,edf,multi_tenant,0,1000,D,4,0.193000,0.025692,0.203881,0.234754,0.266962,0.267212,0.267275,0.218989,0.219105,0,0.000000
example,edf,multi_tenant,0,1000,E,4,0.191000,0.025426,0.222826,0.223153,0.241810,0.243428,0.243832,0.200456,0.200802,0,0.000000
example,fifo,uniform,0,1000,A,30,1.504000,0.199205,0.154123,0.171299,0.239177,0.246036,0.246960,0.197665,0.199777,0,0.000000
example,fifo,uniform,0,1000,B,34,1.680000,0.222517,0.168330,0.167321,0.265869,0.267663,0.268089,0.225886,0.227993,0,0.000000
